move_id,move_symbol,move_layer,score,category,rationale,collection_slot_contents,collection_slot_capacity,board_tile_count,accessible_tile_count,board_tiles_by_symbol,id,symbol
board-tile-26,🥭,3,3.5,Strategic,"Potential for future matches, but high layer.",['🍒'],7,67,5,"{'🍎': 5, '🍐': 4, '🍊': 5, '🍋': 6, '🍌': 4, '🍉': 4, '🍇': 7, '🍓': 7, '🍒': 8, '🍑': 3, '🥭': 10, '🍍': 4}",,
board-tile-38,🍎,0,7.0,Brilliant,"Completes a match, clearing space and setting up more options.",['🍒'],7,67,5,"{'🍎': 5, '🍐': 4, '🍊': 5, '🍋': 6, '🍌': 4, '🍉': 4, '🍇': 7, '🍓': 7, '🍒': 8, '🍑': 3, '🥭': 10, '🍍': 4}",,
board-tile-58,🥭,1,3.0,Good,"Potential for future matches, but high layer.",['🍒'],7,67,5,"{'🍎': 5, '🍐': 4, '🍊': 5, '🍋': 6, '🍌': 4, '🍉': 4, '🍇': 7, '🍓': 7, '🍒': 8, '🍑': 3, '🥭': 10, '🍍': 4}",,
board-tile-14,🍐,1,2.0,Mistake,"Low count of 🍐, placing it is not strategic.",['🍓'],7,33,8,"{'🍎': 2, '🍐': 2, '🍊': 0, '🍋': 6, '🍌': 3, '🍉': 2, '🍇': 5, '🍓': 4, '🍒': 3, '🍑': 3, '🥭': 0, '🍍': 3}",,
board-tile-6,🍑,4,3.0,Inaccuracy,"No immediate match, but prevents others from matching.",['🍓'],7,33,8,"{'🍎': 2, '🍐': 2, '🍊': 0, '🍋': 6, '🍌': 3, '🍉': 2, '🍇': 5, '🍓': 4, '🍒': 3, '🍑': 3, '🥭': 0, '🍍': 3}",,
board-tile-27,🍒,1,4.0,Strategic,Opens potential for future 🍒 matches.,['🍓'],7,33,8,"{'🍎': 2, '🍐': 2, '🍊': 0, '🍋': 6, '🍌': 3, '🍉': 2, '🍇': 5, '🍓': 4, '🍒': 3, '🍑': 3, '🥭': 0, '🍍': 3}",,
board-tile-24,🍌,1,5.0,Good,"Matches 🍌 with existing tile, freeing slot.",['🍓'],7,33,8,"{'🍎': 2, '🍐': 2, '🍊': 0, '🍋': 6, '🍌': 3, '🍉': 2, '🍇': 5, '🍓': 4, '🍒': 3, '🍑': 3, '🥭': 0, '🍍': 3}",,
board-tile-23,🍑,2,3.0,Inaccuracy,"No immediate match, but prevents others from matching.",['🍓'],7,33,8,"{'🍎': 2, '🍐': 2, '🍊': 0, '🍋': 6, '🍌': 3, '🍉': 2, '🍇': 5, '🍓': 4, '🍒': 3, '🍑': 3, '🥭': 0, '🍍': 3}",,
board-tile-2,🍍,1,2.0,Mistake,"Low count of 🍍, placing it is not strategic.",['🍓'],7,33,8,"{'🍎': 2, '🍐': 2, '🍊': 0, '🍋': 6, '🍌': 3, '🍉': 2, '🍇': 5, '🍓': 4, '🍒': 3, '🍑': 3, '🥭': 0, '🍍': 3}",,
board-tile-28,🍍,3,2.0,Mistake,"Low count of 🍍, placing it is not strategic.",['🍓'],7,33,8,"{'🍎': 2, '🍐': 2, '🍊': 0, '🍋': 6, '🍌': 3, '🍉': 2, '🍇': 5, '🍓': 4, '🍒': 3, '🍑': 3, '🥭': 0, '🍍': 3}",,
board-tile-32,🍑,2,3.0,Inaccuracy,"No immediate match, but prevents others from matching.",['🍓'],7,33,8,"{'🍎': 2, '🍐': 2, '🍊': 0, '🍋': 6, '🍌': 3, '🍉': 2, '🍇': 5, '🍓': 4, '🍒': 3, '🍑': 3, '🥭': 0, '🍍': 3}",,
board-tile-18,🍑,0,2.5,Inaccuracy,Tile 🍑 has no immediate matches and may block future opportunities.,"['🍐', '🍌']",7,56,3,"{'🍎': 7, '🍐': 5, '🍊': 5, '🍋': 3, '🍌': 2, '🍉': 10, '🍇': 3, '🍓': 9, '🍒': 4, '🍑': 2, '🥭': 5, '🍍': 1}",,
board-tile-27,🍒,1,4.0,Strategic,Tile 🍒 can potentially set up a future match with another 🍒 or 🍊.,"['🍐', '🍌']",7,56,3,"{'🍎': 7, '🍐': 5, '🍊': 5, '🍋': 3, '🍌': 2, '🍉': 10, '🍇': 3, '🍓': 9, '🍒': 4, '🍑': 2, '🥭': 5, '🍍': 1}",,
board-tile-41,🍐,2,7.5,Brilliant,"Tile 🍐 completes a critical match, freeing up valuable slots and resources.","['🍐', '🍌']",7,56,3,"{'🍎': 7, '🍐': 5, '🍊': 5, '🍋': 3, '🍌': 2, '🍉': 10, '🍇': 3, '🍓': 9, '🍒': 4, '🍑': 2, '🥭': 5, '🍍': 1}",,
board-tile-1,🍓,1,6.0,Strategic,Adds a tile that can potentially set up a future match.,['🍉'],7,32,7,"{'🍎': 3, '🍐': 3, '🍊': 5, '🍋': 3, '🍌': 1, '🍉': 3, '🍇': 5, '🍓': 6, '🍒': 0, '🍑': 2, '🥭': 1, '🍍': 0}",,
board-tile-5,🍇,0,7.0,Good,Unlocks a tile that could complete a match with others.,['🍉'],7,32,7,"{'🍎': 3, '🍐': 3, '🍊': 5, '🍋': 3, '🍌': 1, '🍉': 3, '🍇': 5, '🍓': 6, '🍒': 0, '🍑': 2, '🥭': 1, '🍍': 0}",,
board-tile-3,🍇,3,7.0,Good,Unlocks a tile that could complete a match with others.,['🍉'],7,32,7,"{'🍎': 3, '🍐': 3, '🍊': 5, '🍋': 3, '🍌': 1, '🍉': 3, '🍇': 5, '🍓': 6, '🍒': 0, '🍑': 2, '🥭': 1, '🍍': 0}",,
board-tile-30,🍐,1,8.0,Brilliant,"Completes a critical match, freeing up valuable slots.",['🍉'],7,32,7,"{'🍎': 3, '🍐': 3, '🍊': 5, '🍋': 3, '🍌': 1, '🍉': 3, '🍇': 5, '🍓': 6, '🍒': 0, '🍑': 2, '🥭': 1, '🍍': 0}",,
board-tile-17,🍑,2,5.0,Inaccuracy,Doesn't add value towards immediate matches or strategic positioning.,['🍉'],7,32,7,"{'🍎': 3, '🍐': 3, '🍊': 5, '🍋': 3, '🍌': 1, '🍉': 3, '🍇': 5, '🍓': 6, '🍒': 0, '🍑': 2, '🥭': 1, '🍍': 0}",,
board-tile-10,🍇,2,6.0,Strategic,Adds a tile that can potentially set up a future match.,['🍉'],7,32,7,"{'🍎': 3, '🍐': 3, '🍊': 5, '🍋': 3, '🍌': 1, '🍉': 3, '🍇': 5, '🍓': 6, '🍒': 0, '🍑': 2, '🥭': 1, '🍍': 0}",,
board-tile-8,🍊,3,9.0,Brilliant,"Completes a critical match, freeing up valuable slots and unblocking others.",['🍉'],7,32,7,"{'🍎': 3, '🍐': 3, '🍊': 5, '🍋': 3, '🍌': 1, '🍉': 3, '🍇': 5, '🍓': 6, '🍒': 0, '🍑': 2, '🥭': 1, '🍍': 0}",,
board-tile-37,🍍,1,1.5,Inaccuracy,Tile with 🍍 has no immediate matches and could block better options.,"['🍑', '🍉']",7,39,8,"{'🍎': 3, '🍐': 1, '🍊': 3, '🍋': 3, '🍌': 4, '🍉': 6, '🍇': 2, '🍓': 7, '🍒': 1, '🍑': 4, '🥭': 4, '🍍': 1}",,
board-tile-28,🍌,4,3.0,Strategic,Tile with 🍌 could help set up future matches and free up slots.,"['🍑', '🍉']",7,39,8,"{'🍎': 3, '🍐': 1, '🍊': 3, '🍋': 3, '🍌': 4, '🍉': 6, '🍇': 2, '🍓': 7, '🍒': 1, '🍑': 4, '🥭': 4, '🍍': 1}",,
board-tile-38,🥭,0,2.5,Inaccuracy,Tile with 🥭 has no immediate matches and could block better options.,"['🍑', '🍉']",7,39,8,"{'🍎': 3, '🍐': 1, '🍊': 3, '🍋': 3, '🍌': 4, '🍉': 6, '🍇': 2, '🍓': 7, '🍒': 1, '🍑': 4, '🥭': 4, '🍍': 1}",,
board-tile-2,🥭,4,3.0,Strategic,Tile with 🥭 could help set up future matches and free up slots.,"['🍑', '🍉']",7,39,8,"{'🍎': 3, '🍐': 1, '🍊': 3, '🍋': 3, '🍌': 4, '🍉': 6, '🍇': 2, '🍓': 7, '🍒': 1, '🍑': 4, '🥭': 4, '🍍': 1}",,
board-tile-27,🥭,0,2.5,Inaccuracy,Tile with 🥭 has no immediate matches and could block better options.,"['🍑', '🍉']",7,39,8,"{'🍎': 3, '🍐': 1, '🍊': 3, '🍋': 3, '🍌': 4, '🍉': 6, '🍇': 2, '🍓': 7, '🍒': 1, '🍑': 4, '🥭': 4, '🍍': 1}",,
board-tile-3,🍑,4,4.5,Good,"Tile with 🍑 matches an existing tile, freeing up a slot and preventing a loss.","['🍑', '🍉']",7,39,8,"{'🍎': 3, '🍐': 1, '🍊': 3, '🍋': 3, '🍌': 4, '🍉': 6, '🍇': 2, '🍓': 7, '🍒': 1, '🍑': 4, '🥭': 4, '🍍': 1}",,
board-tile-20,🍋,2,3.5,Strategic,Tile with 🍋 could help set up future matches and free up slots.,"['🍑', '🍉']",7,39,8,"{'🍎': 3, '🍐': 1, '🍊': 3, '🍋': 3, '🍌': 4, '🍉': 6, '🍇': 2, '🍓': 7, '🍒': 1, '🍑': 4, '🥭': 4, '🍍': 1}",,
board-tile-13,🍊,3,4.0,Good,"Tile with 🍊 matches an existing tile, freeing up a slot and preventing a loss.","['🍑', '🍉']",7,39,8,"{'🍎': 3, '🍐': 1, '🍊': 3, '🍋': 3, '🍌': 4, '🍉': 6, '🍇': 2, '🍓': 7, '🍒': 1, '🍑': 4, '🥭': 4, '🍍': 1}",,
board-tile-46,🍓,4,3.5,Inaccuracy,Doesn't complete any matches and adds a tile that is not immediately useful.,"['🍍', '🍐', '🍑']",7,80,8,"{'🍎': 7, '🍐': 4, '🍊': 12, '🍋': 5, '🍌': 8, '🍉': 5, '🍇': 8, '🍓': 6, '🍒': 7, '🍑': 6, '🥭': 5, '🍍': 7}",,
board-tile-62,🍉,1,4.0,Strategic,Adds a tile that could potentially set up a future match.,"['🍍', '🍐', '🍑']",7,80,8,"{'🍎': 7, '🍐': 4, '🍊': 12, '🍋': 5, '🍌': 8, '🍉': 5, '🍇': 8, '🍓': 6, '🍒': 7, '🍑': 6, '🥭': 5, '🍍': 7}",,
