move_id,score,category,rationale,collection_slot_contents,collection_slot_capacity,board_tile_count,accessible_tile_count,board_tiles_by_symbol,id
board-tile-22,7.0,Good,"Adds another 🍊 tile, setting up potential future matches.","['🍉', '🍌']",7,78,4,"{'🍎': 1, '🍐': 8, '🍊': 13, '🍋': 9, '🍌': 6, '🍉': 6, '🍇': 3, '🍓': 7, '🍒': 6, '🍑': 5, '🥭': 5, '🍍': 9}",
board-tile-71,7.0,Good,"Adds another 🍊 tile, setting up potential future matches.","['🍉', '🍌']",7,78,4,"{'🍎': 1, '🍐': 8, '🍊': 13, '🍋': 9, '🍌': 6, '🍉': 6, '🍇': 3, '🍓': 7, '🍒': 6, '🍑': 5, '🥭': 5, '🍍': 9}",
board-tile-48,6.0,Inaccuracy,No immediate matches and less useful than adding 🍊 tiles.,"['🍉', '🍌']",7,78,4,"{'🍎': 1, '🍐': 8, '🍊': 13, '🍋': 9, '🍌': 6, '🍉': 6, '🍇': 3, '🍓': 7, '🍒': 6, '🍑': 5, '🥭': 5, '🍍': 9}",
board-tile-65,2.0,Inaccuracy,No matches available and wastes a slot.,"['🍑', '🍒', '🍋']",7,69,3,"{'🍎': 4, '🍐': 7, '🍊': 7, '🍋': 5, '🍌': 9, '🍉': 8, '🍇': 3, '🍓': 5, '🍒': 3, '🍑': 7, '🥭': 3, '🍍': 8}",
board-tile-3,4.0,Strategic,Sets up potential future matches without wasting slots.,"['🍑', '🍒', '🍋']",7,69,3,"{'🍎': 4, '🍐': 7, '🍊': 7, '🍋': 5, '🍌': 9, '🍉': 8, '🍇': 3, '🍓': 5, '🍒': 3, '🍑': 7, '🥭': 3, '🍍': 8}",
board-tile-5,4.0,Strategic,Sets up potential future matches without wasting slots.,"['🍑', '🍒', '🍋']",7,69,3,"{'🍎': 4, '🍐': 7, '🍊': 7, '🍋': 5, '🍌': 9, '🍉': 8, '🍇': 3, '🍓': 5, '🍒': 3, '🍑': 7, '🥭': 3, '🍍': 8}",
board-tile-10,8.5,Strategic,"Matches existing tile in collection, potentially completing a triple.","['🍓', '🍋']",7,73,3,"{'🍎': 4, '🍐': 5, '🍊': 4, '🍋': 9, '🍌': 2, '🍉': 5, '🍇': 8, '🍓': 9, '🍒': 2, '🍑': 6, '🥭': 9, '🍍': 10}",
board-tile-30,7.0,Good,Prevents immediate loss but doesn't set up a future match.,"['🍓', '🍋']",7,73,3,"{'🍎': 4, '🍐': 5, '🍊': 4, '🍋': 9, '🍌': 2, '🍉': 5, '🍇': 8, '🍓': 9, '🍒': 2, '🍑': 6, '🥭': 9, '🍍': 10}",
board-tile-12,9.0,Brilliant,"Completes a critical triple, freeing up 3 slots and preventing a loss.","['🍓', '🍋']",7,73,3,"{'🍎': 4, '🍐': 5, '🍊': 4, '🍋': 9, '🍌': 2, '🍉': 5, '🍇': 8, '🍓': 9, '🍒': 2, '🍑': 6, '🥭': 9, '🍍': 10}",
board-tile-0,7.0,Strategic,"Sets up potential future matches, especially with 🍐 tiles.",[],7,58,6,"{'🍎': 4, '🍐': 6, '🍊': 7, '🍋': 5, '🍌': 4, '🍉': 6, '🍇': 3, '🍓': 2, '🍒': 6, '🍑': 5, '🥭': 8, '🍍': 2}",
board-tile-40,9.0,Brilliant,"Completes a critical match, freeing up valuable slots.",[],7,58,6,"{'🍎': 4, '🍐': 6, '🍊': 7, '🍋': 5, '🍌': 4, '🍉': 6, '🍇': 3, '🍓': 2, '🍒': 6, '🍑': 5, '🥭': 8, '🍍': 2}",
board-tile-10,5.0,Inaccuracy,Doesn't contribute to immediate matches and is less useful.,[],7,58,6,"{'🍎': 4, '🍐': 6, '🍊': 7, '🍋': 5, '🍌': 4, '🍉': 6, '🍇': 3, '🍓': 2, '🍒': 6, '🍑': 5, '🥭': 8, '🍍': 2}",
board-tile-43,6.0,Good,Helps in setting up a potential match but not immediately useful.,[],7,58,6,"{'🍎': 4, '🍐': 6, '🍊': 7, '🍋': 5, '🍌': 4, '🍉': 6, '🍇': 3, '🍓': 2, '🍒': 6, '🍑': 5, '🥭': 8, '🍍': 2}",
board-tile-49,6.0,Good,Helps in setting up a potential match but not immediately useful.,[],7,58,6,"{'🍎': 4, '🍐': 6, '🍊': 7, '🍋': 5, '🍌': 4, '🍉': 6, '🍇': 3, '🍓': 2, '🍒': 6, '🍑': 5, '🥭': 8, '🍍': 2}",
board-tile-23,7.0,Strategic,"Sets up potential future matches, especially with 🍊 tiles.",[],7,58,6,"{'🍎': 4, '🍐': 6, '🍊': 7, '🍋': 5, '🍌': 4, '🍉': 6, '🍇': 3, '🍓': 2, '🍒': 6, '🍑': 5, '🥭': 8, '🍍': 2}",
board-tile-18,6.0,Inaccuracy,Adds a tile with no immediate matches and blocks more useful tiles.,"['🍇', '🍋', '🍒', '🍇', '🍌']",7,50,6,"{'🍎': 4, '🍐': 3, '🍊': 6, '🍋': 3, '🍌': 5, '🍉': 3, '🍇': 4, '🍓': 4, '🍒': 6, '🍑': 2, '🥭': 3, '🍍': 7}",
board-tile-44,8.0,Strategic,"Completes a match with another 🍊 tile, freeing up slots.","['🍇', '🍋', '🍒', '🍇', '🍌']",7,50,6,"{'🍎': 4, '🍐': 3, '🍊': 6, '🍋': 3, '🍌': 5, '🍉': 3, '🍇': 4, '🍓': 4, '🍒': 6, '🍑': 2, '🥭': 3, '🍍': 7}",
board-tile-15,6.0,Inaccuracy,Adds a tile with no immediate matches and blocks more useful tiles.,"['🍇', '🍋', '🍒', '🍇', '🍌']",7,50,6,"{'🍎': 4, '🍐': 3, '🍊': 6, '🍋': 3, '🍌': 5, '🍉': 3, '🍇': 4, '🍓': 4, '🍒': 6, '🍑': 2, '🥭': 3, '🍍': 7}",
board-tile-7,8.0,Strategic,"Completes a match with another 🍊 tile, freeing up slots.","['🍇', '🍋', '🍒', '🍇', '🍌']",7,50,6,"{'🍎': 4, '🍐': 3, '🍊': 6, '🍋': 3, '🍌': 5, '🍉': 3, '🍇': 4, '🍓': 4, '🍒': 6, '🍑': 2, '🥭': 3, '🍍': 7}",
board-tile-6,5.0,Mistake,Adds a tile with no immediate matches and blocks more useful tiles.,"['🍇', '🍋', '🍒', '🍇', '🍌']",7,50,6,"{'🍎': 4, '🍐': 3, '🍊': 6, '🍋': 3, '🍌': 5, '🍉': 3, '🍇': 4, '🍓': 4, '🍒': 6, '🍑': 2, '🥭': 3, '🍍': 7}",
board-tile-46,7.0,Good,"Completes a match with another 🍎 tile, freeing up slots.","['🍇', '🍋', '🍒', '🍇', '🍌']",7,50,6,"{'🍎': 4, '🍐': 3, '🍊': 6, '🍋': 3, '🍌': 5, '🍉': 3, '🍇': 4, '🍓': 4, '🍒': 6, '🍑': 2, '🥭': 3, '🍍': 7}",
board-tile-33,3.5,Inaccuracy,"Adds a tile with no immediate match, increasing risk.","['🍌', '🍉', '🍑']",7,50,7,"{'🍎': 5, '🍐': 5, '🍊': 5, '🍋': 1, '🍌': 5, '🍉': 5, '🍇': 4, '🍓': 6, '🍒': 4, '🍑': 1, '🥭': 2, '🍍': 7}",
board-tile-0,5.0,Strategic,"Completes a match, freeing up space and improving board flow.","['🍌', '🍉', '🍑']",7,50,7,"{'🍎': 5, '🍐': 5, '🍊': 5, '🍋': 1, '🍌': 5, '🍉': 5, '🍇': 4, '🍓': 6, '🍒': 4, '🍑': 1, '🥭': 2, '🍍': 7}",
board-tile-28,4.0,Good,Opens up potential matches and improves collection slot.,"['🍌', '🍉', '🍑']",7,50,7,"{'🍎': 5, '🍐': 5, '🍊': 5, '🍋': 1, '🍌': 5, '🍉': 5, '🍇': 4, '🍓': 6, '🍒': 4, '🍑': 1, '🥭': 2, '🍍': 7}",
board-tile-16,4.5,Strategic,Potential to complete a match and improve board strategy.,"['🍌', '🍉', '🍑']",7,50,7,"{'🍎': 5, '🍐': 5, '🍊': 5, '🍋': 1, '🍌': 5, '🍉': 5, '🍇': 4, '🍓': 6, '🍒': 4, '🍑': 1, '🥭': 2, '🍍': 7}",
board-tile-43,6.5,Brilliant,Completes a match and removes a tile that can't be used elsewhere.,"['🍌', '🍉', '🍑']",7,50,7,"{'🍎': 5, '🍐': 5, '🍊': 5, '🍋': 1, '🍌': 5, '🍉': 5, '🍇': 4, '🍓': 6, '🍒': 4, '🍑': 1, '🥭': 2, '🍍': 7}",
board-tile-14,3.0,Inaccuracy,"Adds a tile with no immediate match, increasing risk.","['🍌', '🍉', '🍑']",7,50,7,"{'🍎': 5, '🍐': 5, '🍊': 5, '🍋': 1, '🍌': 5, '🍉': 5, '🍇': 4, '🍓': 6, '🍒': 4, '🍑': 1, '🥭': 2, '🍍': 7}",
board-tile-17,4.0,Good,Potential to complete a match and improve board strategy.,"['🍌', '🍉', '🍑']",7,50,7,"{'🍎': 5, '🍐': 5, '🍊': 5, '🍋': 1, '🍌': 5, '🍉': 5, '🍇': 4, '🍓': 6, '🍒': 4, '🍑': 1, '🥭': 2, '🍍': 7}",
board-tile-10,6.5,Inaccuracy,"Duplicates an existing tile, not forming a match and wasting a slot.","['🍐', '🍐', '🍓', '🍓', '🍉']",7,59,7,"{'🍎': 9, '🍐': 5, '🍊': 3, '🍋': 5, '🍌': 4, '🍉': 5, '🍇': 4, '🍓': 5, '🍒': 5, '🍑': 5, '🥭': 4, '🍍': 5}",
board-tile-46,7.0,Strategic,"Matches with existing tiles, freeing up space and preventing immediate loss.","['🍐', '🍐', '🍓', '🍓', '🍉']",7,59,7,"{'🍎': 9, '🍐': 5, '🍊': 3, '🍋': 5, '🍌': 4, '🍉': 5, '🍇': 4, '🍓': 5, '🍒': 5, '🍑': 5, '🥭': 4, '🍍': 5}",
board-tile-7,8.5,Brilliant,"Completes a critical match, removing 3 tiles and opening up strategic options.","['🍐', '🍐', '🍓', '🍓', '🍉']",7,59,7,"{'🍎': 9, '🍐': 5, '🍊': 3, '🍋': 5, '🍌': 4, '🍉': 5, '🍇': 4, '🍓': 5, '🍒': 5, '🍑': 5, '🥭': 4, '🍍': 5}",
board-tile-4,5.5,Mistake,Does not form a match and could block more useful tiles.,"['🍐', '🍐', '🍓', '🍓', '🍉']",7,59,7,"{'🍎': 9, '🍐': 5, '🍊': 3, '🍋': 5, '🍌': 4, '🍉': 5, '🍇': 4, '🍓': 5, '🍒': 5, '🍑': 5, '🥭': 4, '🍍': 5}",
board-tile-45,4.0,Blunder,Has no matches available and risks blocking other potentially useful tiles.,"['🍐', '🍐', '🍓', '🍓', '🍉']",7,59,7,"{'🍎': 9, '🍐': 5, '🍊': 3, '🍋': 5, '🍌': 4, '🍉': 5, '🍇': 4, '🍓': 5, '🍒': 5, '🍑': 5, '🥭': 4, '🍍': 5}",
board-tile-38,5.5,Mistake,Does not form a match and could block more useful tiles.,"['🍐', '🍐', '🍓', '🍓', '🍉']",7,59,7,"{'🍎': 9, '🍐': 5, '🍊': 3, '🍋': 5, '🍌': 4, '🍉': 5, '🍇': 4, '🍓': 5, '🍒': 5, '🍑': 5, '🥭': 4, '🍍': 5}",
board-tile-44,7.0,Strategic,"Matches with existing tiles, freeing up space and preventing immediate loss.","['🍐', '🍐', '🍓', '🍓', '🍉']",7,59,7,"{'🍎': 9, '🍐': 5, '🍊': 3, '🍋': 5, '🍌': 4, '🍉': 5, '🍇': 4, '🍓': 5, '🍒': 5, '🍑': 5, '🥭': 4, '🍍': 5}",
board-tile-30,8.0,Strategic,"Matches with existing slot contents, clearing a slot and setting up future moves.","['🍋', '🍎', '🍇']",7,37,8,"{'🍎': 5, '🍐': 2, '🍊': 5, '🍋': 5, '🍌': 3, '🍉': 1, '🍇': 2, '🍓': 3, '🍒': 2, '🍑': 2, '🥭': 3, '🍍': 4}",
board-tile-14,7.5,Strategic,"Matches with existing slot contents, clearing a slot and preventing a potential loss.","['🍋', '🍎', '🍇']",7,37,8,"{'🍎': 5, '🍐': 2, '🍊': 5, '🍋': 5, '🍌': 3, '🍉': 1, '🍇': 2, '🍓': 3, '🍒': 2, '🍑': 2, '🥭': 3, '🍍': 4}",
board-tile-22,6.0,Inaccuracy,Does not match with existing slot contents and may block more useful tiles.,"['🍋', '🍎', '🍇']",7,37,8,"{'🍎': 5, '🍐': 2, '🍊': 5, '🍋': 5, '🍌': 3, '🍉': 1, '🍇': 2, '🍓': 3, '🍒': 2, '🍑': 2, '🥭': 3, '🍍': 4}",
board-tile-17,5.5,Inaccuracy,Does not match with existing slot contents and may block more useful tiles.,"['🍋', '🍎', '🍇']",7,37,8,"{'🍎': 5, '🍐': 2, '🍊': 5, '🍋': 5, '🍌': 3, '🍉': 1, '🍇': 2, '🍓': 3, '🍒': 2, '🍑': 2, '🥭': 3, '🍍': 4}",
board-tile-27,6.5,Strategic,"Matches with existing slot contents, clearing a slot and potentially unblocking more tiles.","['🍋', '🍎', '🍇']",7,37,8,"{'🍎': 5, '🍐': 2, '🍊': 5, '🍋': 5, '🍌': 3, '🍉': 1, '🍇': 2, '🍓': 3, '🍒': 2, '🍑': 2, '🥭': 3, '🍍': 4}",
board-tile-29,5.0,Inaccuracy,Does not match with existing slot contents and may block more useful tiles.,"['🍋', '🍎', '🍇']",7,37,8,"{'🍎': 5, '🍐': 2, '🍊': 5, '🍋': 5, '🍌': 3, '🍉': 1, '🍇': 2, '🍓': 3, '🍒': 2, '🍑': 2, '🥭': 3, '🍍': 4}",
board-tile-36,4.5,Inaccuracy,Does not match with existing slot contents and may block more useful tiles.,"['🍋', '🍎', '🍇']",7,37,8,"{'🍎': 5, '🍐': 2, '🍊': 5, '🍋': 5, '🍌': 3, '🍉': 1, '🍇': 2, '🍓': 3, '🍒': 2, '🍑': 2, '🥭': 3, '🍍': 4}",
board-tile-24,6.0,Inaccuracy,Introduces an unlikely match; better to free up space.,"['🍍', '🍐', '🍉', '🍋']",7,40,3,"{'🍎': 8, '🍐': 3, '🍊': 3, '🍋': 3, '🍌': 1, '🍉': 3, '🍇': 4, '🍓': 3, '🍒': 2, '🍑': 3, '🥭': 3, '🍍': 4}",
board-tile-36,8.5,Strategic,"Completes a match, freeing up valuable slots.","['🍍', '🍐', '🍉', '🍋']",7,40,3,"{'🍎': 8, '🍐': 3, '🍊': 3, '🍋': 3, '🍌': 1, '🍉': 3, '🍇': 4, '🍓': 3, '🍒': 2, '🍑': 3, '🥭': 3, '🍍': 4}",
board-tile-5,7.0,Good,Prepares for potential future matches.,"['🍍', '🍐', '🍉', '🍋']",7,40,3,"{'🍎': 8, '🍐': 3, '🍊': 3, '🍋': 3, '🍌': 1, '🍉': 3, '🍇': 4, '🍓': 3, '🍒': 2, '🍑': 3, '🥭': 3, '🍍': 4}",
board-tile-7,4.5,Inaccuracy,Doesn't contribute to any immediate matches and is not a high-frequency tile.,"['🍑', '🍓']",7,36,6,"{'🍎': 4, '🍐': 2, '🍊': 2, '🍋': 3, '🍌': 4, '🍉': 1, '🍇': 1, '🍓': 5, '🍒': 5, '🍑': 4, '🥭': 4, '🍍': 1}",
board-tile-17,7.0,Strategic,"Matches two 🍎 tiles, clearing them and setting up potential future matches.","['🍑', '🍓']",7,36,6,"{'🍎': 4, '🍐': 2, '🍊': 2, '🍋': 3, '🍌': 4, '🍉': 1, '🍇': 1, '🍓': 5, '🍒': 5, '🍑': 4, '🥭': 4, '🍍': 1}",
board-tile-9,6.5,Good,"Matches three 🥭 tiles, removing them and creating space for other matches.","['🍑', '🍓']",7,36,6,"{'🍎': 4, '🍐': 2, '🍊': 2, '🍋': 3, '🍌': 4, '🍉': 1, '🍇': 1, '🍓': 5, '🍒': 5, '🍑': 4, '🥭': 4, '🍍': 1}",
board-tile-8,5.0,Inaccuracy,Doesn't contribute to any immediate matches and is not a high-frequency tile.,"['🍑', '🍓']",7,36,6,"{'🍎': 4, '🍐': 2, '🍊': 2, '🍋': 3, '🍌': 4, '🍉': 1, '🍇': 1, '🍓': 5, '🍒': 5, '🍑': 4, '🥭': 4, '🍍': 1}",
board-tile-30,4.5,Inaccuracy,Doesn't contribute to any immediate matches and is not a high-frequency tile.,"['🍑', '🍓']",7,36,6,"{'🍎': 4, '🍐': 2, '🍊': 2, '🍋': 3, '🍌': 4, '🍉': 1, '🍇': 1, '🍓': 5, '🍒': 5, '🍑': 4, '🥭': 4, '🍍': 1}",
board-tile-29,8.0,Brilliant,"Completes a critical 🍑 match, freeing up 3 slots and preventing a loss.","['🍑', '🍓']",7,36,6,"{'🍎': 4, '🍐': 2, '🍊': 2, '🍋': 3, '🍌': 4, '🍉': 1, '🍇': 1, '🍓': 5, '🍒': 5, '🍑': 4, '🥭': 4, '🍍': 1}",
board-tile-56,5.5,Inaccuracy,Doesn't complete any triples and adds a tile with no immediate matches.,['🍉'],7,63,5,"{'🍎': 5, '🍐': 5, '🍊': 8, '🍋': 3, '🍌': 6, '🍉': 4, '🍇': 6, '🍓': 2, '🍒': 3, '🍑': 11, '🥭': 4, '🍍': 6}",
board-tile-7,7.0,Strategic,"Completes a 🍎 match, freeing up space and setting up potential future matches.",['🍉'],7,63,5,"{'🍎': 5, '🍐': 5, '🍊': 8, '🍋': 3, '🍌': 6, '🍉': 4, '🍇': 6, '🍓': 2, '🍒': 3, '🍑': 11, '🥭': 4, '🍍': 6}",
board-tile-58,6.5,Good,"Completes a 🍇 match, freeing up space and adding useful tiles.",['🍉'],7,63,5,"{'🍎': 5, '🍐': 5, '🍊': 8, '🍋': 3, '🍌': 6, '🍉': 4, '🍇': 6, '🍓': 2, '🍒': 3, '🍑': 11, '🥭': 4, '🍍': 6}",
board-tile-53,8.5,Brilliant,"Completes a 🍑 match, freeing up 3 slots and preventing an immediate loss.",['🍉'],7,63,5,"{'🍎': 5, '🍐': 5, '🍊': 8, '🍋': 3, '🍌': 6, '🍉': 4, '🍇': 6, '🍓': 2, '🍒': 3, '🍑': 11, '🥭': 4, '🍍': 6}",
board-tile-9,6.0,Strategic,"Completes a 🍎 match, freeing up space and adding useful tiles.",['🍉'],7,63,5,"{'🍎': 5, '🍐': 5, '🍊': 8, '🍋': 3, '🍌': 6, '🍉': 4, '🍇': 6, '🍓': 2, '🍒': 3, '🍑': 11, '🥭': 4, '🍍': 6}",
board-tile-71,6.0,Strategic,Adds a tile that can potentially complete a match with existing 🍑 tiles.,[],7,78,3,"{'🍎': 12, '🍐': 9, '🍊': 7, '🍋': 5, '🍌': 7, '🍉': 4, '🍇': 9, '🍓': 4, '🍒': 5, '🍑': 7, '🥭': 4, '🍍': 5}",
board-tile-54,7.0,Good,"Completes a match with two existing 🍌 tiles, freeing up valuable slots.",[],7,78,3,"{'🍎': 12, '🍐': 9, '🍊': 7, '🍋': 5, '🍌': 7, '🍉': 4, '🍇': 9, '🍓': 4, '🍒': 5, '🍑': 7, '🥭': 4, '🍍': 5}",
board-tile-52,5.5,Inaccuracy,Adds another 🍑 tile without immediate strategic benefit.,[],7,78,3,"{'🍎': 12, '🍐': 9, '🍊': 7, '🍋': 5, '🍌': 7, '🍉': 4, '🍇': 9, '🍓': 4, '🍒': 5, '🍑': 7, '🥭': 4, '🍍': 5}",
board-tile-8,4.5,Inaccuracy,Does not contribute to immediate matches and adds a tile with no other matches.,"['🍋', '🍒']",7,34,5,"{'🍎': 0, '🍐': 4, '🍊': 4, '🍋': 3, '🍌': 0, '🍉': 2, '🍇': 5, '🍓': 4, '🍒': 3, '🍑': 2, '🥭': 4, '🍍': 3}",
board-tile-18,8.5,Strategic,"Completes a 🍋 match, freeing up slots and preventing a loss.","['🍋', '🍒']",7,34,5,"{'🍎': 0, '🍐': 4, '🍊': 4, '🍋': 3, '🍌': 0, '🍉': 2, '🍇': 5, '🍓': 4, '🍒': 3, '🍑': 2, '🥭': 4, '🍍': 3}",
board-tile-25,6.0,Good,Sets up a potential 🍋 match but does not immediately complete one.,"['🍋', '🍒']",7,34,5,"{'🍎': 0, '🍐': 4, '🍊': 4, '🍋': 3, '🍌': 0, '🍉': 2, '🍇': 5, '🍓': 4, '🍒': 3, '🍑': 2, '🥭': 4, '🍍': 3}",
,4.5,Inaccuracy,Does not contribute to immediate matches and adds a tile with no other matches.,"['🍋', '🍒']",7,34,5,"{'🍎': 0, '🍐': 4, '🍊': 4, '🍋': 3, '🍌': 0, '🍉': 2, '🍇': 5, '🍓': 4, '🍒': 3, '🍑': 2, '🥭': 4, '🍍': 3}",board-tile-0
